lateral,treatment,heads,galpminphead,acres
T26.6,0,0,2.77,20.088023
T26.7,0,0,2.77,20.088023
T26.8,0,0,2.77,20.088023
T26.9,0,0,2.77,0
T26.6,45,69,2.77,14.427681
T26.7,45,100,2.77,23.591672
T26.8,45,87,2.77,21.447804
T26.9,45,7,2.77,6.375021
T26.6,55,78,2.77,12.116575
T26.7,55,105,2.77,19.723466
T26.8,55,105,2.77,20.145535
T26.9,55,74,2.77,18.414516
T26.6,65,3,2.77,0.171853
T26.7,65,73,2.77,10.65271
T26.8,65,157,2.77,18.337291
T26.9,65,140,2.77,27.607481
T26.6,75,79,2.77,9.270508
T26.7,75,129,2.77,17.978065
T26.8,75,123,2.77,18.337291
T26.9,75,134,2.77,19.056011
T10.3,0,0,4.16,7.5118225714
T10.4,0,0,4.16,21.3238834286
T10.6,45,62,4.16,20.487663
T10.7,45,48,4.16,13.836984
T10.6,55,62,4.16,16.228541
T10.7,55,53,4.16,13.788528
T10.2,65,135,4.16,29.955835
T10.3,65,16,4.16,2.72692
T10.2,75,35,4.16,7.582447
T10.3,75,131,4.16,23.773717
T29.2,45,223,4.16,51.578358
T29.1,0,0,4.16,47.566139
