"DCA","Date","Target 45%","Target 55%","Target 65%","Target 75%"
"T10-1b","04-02-15","67%","100%","100%","99%"
"T10-1b","04-14-15","98%","95%","100%","100%"
"T10-1b","10-15-15","12%","58%","86%","54%"
"T26","10-15-15","89%","58%","98%","43%"
"T26","10-16-15","100%","100%","100%","100%"
"T26","10-18-15","100%","100%","100%","100%"
"T26","10-20-15","-18%","100%","100%","100%"
"T26","10-21-15","73%","99%","98%","100%"
"T26","10-29-15","-115%","94%","99%","100%"
"T26","10-30-15","70%","91%","100%","100%"
"T26","11-02-15","93%","98%","100%","100%"
"T26","11-04-15","96%","100%","100%","99%"
"T26","11-09-15","78%","100%","100%","100%"
"T26","11-10-15","70%","100%","100%","100%"
"T26","11-15-15","85%","100%","100%","100%"
"T26","11-16-15","73%","97%","100%","100%"
"T26","11-17-15","27%","89%","99%","99%"
"T26","11-24-15","77%","92%","100%","100%"
"T26","11-25-15","72%","95%","100%","99%"
"T26","12-10-15","74%","100%","100%","100%"
"T26","12-13-15","84%","100%","100%","100%"
"T26","12-14-15","96%","100%","100%","100%"
"T26","12-15-15","87%","100%","100%","100%"
"T26","12-24-15","82%","100%","100%","100%"
"T26","12-26-15","81%","100%","100%","100%"
"T26","01-06-16","100%","91%","100%","100%"
"T26","01-15-16","100%","100%","100%","100%"
"T26","01-31-16","100%","100%","100%","100%"
"T26","02-01-16","20%","71%","99%","99%"
"T29-2","02-01-16","-577%","NA","NA","NA"
"T29-2","02-13-16","96%","NA","NA","NA"
"T26","02-22-16","100%","100%","100%","100%"
"T26","03-05-16","90%","83%","100%","98%"
"T29-2","03-05-16","-85%","NA","NA","NA"
"T26","03-06-16","100%","69%","100%","99%"
"T29-2","03-09-16","93%","NA","NA","NA"
"T26","03-11-16","99%","96%","100%","99%"
"T29-2","03-11-16","46%","NA","NA","NA"
"T26","03-20-16","99%","100%","100%","100%"
"T26","03-21-16","97%","98%","100%","100%"
"T26","03-22-16","100%","100%","100%","100%"
"T26","03-28-16","95%","90%","100%","99%"
"T29-2","03-28-16","64%","NA","NA","NA"
"T26","03-29-16","100%","99%","100%","100%"
"T29-2","04-05-16","96%","NA","NA","NA"
"T26","04-07-16","94%","100%","100%","100%"
"T29-2","04-10-16","88%","NA","NA","NA"
"T29-2","04-11-16","92%","NA","NA","NA"
"T26","04-14-16","97%","100%","100%","100%"
"T26","04-15-16","96%","99%","99%","98%"
"T26","04-16-16","99%","100%","100%","100%"
"T29-2","04-17-16","95%","NA","NA","NA"
"T29-2","04-18-16","86%","NA","NA","NA"
"T29-2","04-20-16","91%","NA","NA","NA"
"T26","04-22-16","100%","93%","100%","97%"
"T29-2","04-22-16","-2194%","NA","NA","NA"
"T29-2","04-23-16","94%","NA","NA","NA"
"T26","04-25-16","100%","96%","100%","99%"
"T26","04-28-16","100%","100%","100%","100%"
"T29-2","04-29-16","98%","NA","NA","NA"
"T26","04-30-16","97%","100%","100%","98%"
"T29-2","04-30-16","82%","NA","NA","NA"
"T29-2","05-01-16","91%","NA","NA","NA"
"T29-2","05-02-16","99%","NA","NA","NA"
"T29-2","05-03-16","96%","NA","NA","NA"
"T29-2","05-04-16","99%","NA","NA","NA"
"T26","05-17-16","100%","100%","100%","100%"
"T26","05-19-16","92%","94%","100%","99%"
"T26","05-20-16","97%","94%","100%","100%"
"T29-2","05-20-16","-14%","NA","NA","NA"
"T29-2","06-07-16","100%","NA","NA","NA"
"T29-2","06-09-16","99%","NA","NA","NA"
"T29-2","06-12-16","99%","NA","NA","NA"
"T26","06-15-16","100%","88%","100%","93%"
"T29-2","06-15-16","-271%","NA","NA","NA"
